Saturn fpa (deg),Saturn v1 max,Saturn v1x max,Saturn v1y max,Titan max fpa,Titan v1 max magnitude,Titan v1x max,Titan v1y max,vp max,rp max,max semimajor axis,max eccentricity,max energy,max momentum,Saturn v1 min,Saturn v1x min,Saturn v1y min,Titan min fpa,Titan v1 min magnitude,Titan v1x min,Titan v1y min,vp min,rp min,min semimajor axis,min eccentricity,min energy,min momentum
98.0,7.900000000000001,-7.823117743058407,1.0994674975845165,130.44869307952044,10.280222172846827,7.823117743058407,-6.669467497584517,57.49837073520155,22946.058822736053,975468741.7989235,0.9999764768896844,-0.019442447704705046,1319360.9971014198,7.900000000000001,-7.823117743058407,1.0994674975845165,130.44869307952044,10.280222172846827,7.823117743058407,-6.669467497584517,57.49837073520155,22946.058822736053,975468741.7989235,0.9999764768896844,-0.019442447704705046,1319360.9971014198
99.0,7.910000000000001,-7.812614774107541,1.237396618468226,131.06674342377596,10.362316262773302,7.812614774107541,-6.807396618468227,51.08889108810163,29064.556120453588,825981972.1485794,0.9999648121180602,-0.022961154891390834,1484875.9421618711,7.910000000000001,-7.812614774107541,1.237396618468226,131.06674342377596,10.362316262773302,7.812614774107541,-6.807396618468227,51.08889108810163,29064.556120453588,825981972.1485794,0.9999648121180602,-0.022961154891390834,1484875.9421618711
100.0,7.920000000000001,-7.7996774038566885,1.375293567122088,131.68375666869224,10.44375748175627,7.7996774038566885,-6.945293567122088,45.96703412381396,35902.953323053625,6795454434.441574,0.9999947166221671,-0.0027909097445899533,1650352.2805465057,7.920000000000001,-7.7996774038566885,1.375293567122088,131.68375666869224,10.44375748175627,7.7996774038566885,-6.945293567122088,45.96703412381396,35902.953323053625,6795454434.441574,0.9999947166221671,-0.0027909097445899533,1650352.2805465057
101.0,7.920000000000001,-7.7744872929055,1.511207243382235,132.32808035671016,10.515994897834352,7.7744872929055,-7.081207243382235,41.83080765624065,43351.98849042872,413518456.65979344,0.9998951631111207,-0.04586373279005329,1813448.6920586822,7.920000000000001,-7.7744872929055,1.511207243382235,132.32808035671016,10.515994897834352,7.7744872929055,-7.081207243382235,41.83080765624065,43351.98849042872,413518456.65979344,0.9998951631111207,-0.04586373279005329,1813448.6920586822
102.0,7.920000000000001,-7.746928997811742,1.646660591276654,132.97044464842577,10.587497295717338,7.746928997811742,-7.216660591276654,38.3877457941604,51474.570039290404,241220609.44396102,0.9997866079098384,-0.07862304984519142,1975992.7095319852,7.920000000000001,-7.746928997811742,1.646660591276654,132.97044464842577,10.587497295717338,7.746928997811742,-7.216660591276654,38.3877457941604,51474.570039290404,241220609.44396102,0.9997866079098384,-0.07862304984519142,1975992.7095319852
103.0,7.930000000000001,-7.726754613746916,1.7838618609468497,133.5835573557391,10.666865571991986,7.726754613746916,-7.35386186094685,35.43760604129811,60405.72353114308,751878276.0161282,0.9999196602356286,-0.025224162746781076,2140634.2331362194,7.930000000000001,-7.726754613746916,1.7838618609468497,133.5835573557391,10.666865571991986,7.726754613746916,-7.35386186094685,35.43760604129811,60405.72353114308,751878276.0161282,0.9999196602356286,-0.025224162746781076,2140634.2331362194
104.0,7.930000000000001,-7.694445109368653,1.9184406321053658,134.2226469274746,10.736909641123642,7.694445109368653,-7.488440632105366,32.95022303798925,69866.86420520581,417740110.1776759,0.9998327504050892,-0.04540023698450568,2302128.758526439,7.930000000000001,-7.694445109368653,1.9184406321053658,134.2226469274746,10.736909641123642,7.694445109368653,-7.488440632105366,32.95022303798925,69866.86420520581,417740110.1776759,0.9998327504050892,-0.04540023698450568,2302128.758526439
105.0,7.930000000000001,-7.659791802472312,2.0524350276629906,134.8599431029656,10.806198508641497,7.659791802472312,-7.622435027662991,30.797619393571996,79971.18224370432,307501474.1316256,0.9997399323613991,-0.06167612709356263,2462922.0331955883,7.390000000000012,-7.138191856276227,1.9126727433076323,136.34969104351487,10.341381646590905,7.138191856276227,-7.482672743307632,32.797330851451974,69981.52692256503,4535018.832816514,0.9845686358750791,-4.182011298996372,2295207.2919691587
106.0,7.930000000000001,-7.622805248790869,2.1858042316288024,135.4954993123719,10.874725704142834,7.622805248790869,-7.755804231628803,28.917043331545372,90706.54450668514,252888165.73654857,0.9996413175593152,-0.0749956010980668,2622965.077954563,6.910000000000022,-6.642318318933805,1.9046541286954697,138.3742492445649,9.999542339210722,6.642318318933805,-7.4746541286954695,32.72620312987972,69839.60055994934,2490953.8826366537,0.9719627083235982,-7.613749950250053,2285584.9544345634
107.0,7.930000000000001,-7.583496714786873,2.318507618451302,136.12936719458438,10.94248485809085,7.583496714786873,-7.888507618451302,27.260509544570585,102060.0564194402,220443727.54595202,0.9995370244481183,-0.0860332938983106,2782209.142141562,6.500000000000031,-6.21598091375976,1.9004160806977974,140.23684826689131,9.718309273684074,6.21598091375976,-7.470416080697798,32.63035342911182,69888.89353563557,1830136.0394293405,0.9618121866189642,-10.362890840570344,2280499.296837357
